Temperature,Voltage,Time
16.94,,2021-04-04 19:24:44
17.19,,2021-04-04 19:24:55
17.44,,2021-04-04 19:24:59
17.81,,2021-04-04 19:25:04
18.62,,2021-04-04 19:25:14
19.12,,2021-04-04 19:25:20
19.44,,2021-04-04 19:25:25
19.81,,2021-04-04 19:25:29
21.62,,2021-04-04 19:25:55
21.94,,2021-04-04 19:26:00
22.25,,2021-04-04 19:26:04
23.12,,2021-04-04 19:26:19
23.69,,2021-04-04 19:26:30
23.94,,2021-04-04 19:26:34
24.12,,2021-04-04 19:26:39
24.88,,2021-04-04 19:26:55
25.12,,2021-04-04 19:27:00
25.19,,2021-04-04 19:27:04
25.12,,2021-04-04 19:27:10
25.0,,2021-04-04 19:27:14
24.88,,2021-04-04 19:27:19
24.88,,2021-04-04 19:27:30
25.06,,2021-04-04 19:27:34
25.12,,2021-04-04 19:27:39
25.06,,2021-04-04 19:27:50
24.94,,2021-04-04 19:27:55
24.81,,2021-04-04 19:28:05
24.94,,2021-04-04 19:28:09
25.12,,2021-04-04 19:28:25
25.06,,2021-04-04 19:28:29
24.88,,2021-04-04 19:28:44
25.06,,2021-04-04 19:28:49
25.19,,2021-04-04 19:28:54
25.12,,2021-04-04 19:29:05
25.0,,2021-04-04 19:29:09
24.88,,2021-04-04 19:29:15
25.19,,2021-04-04 19:29:30
25.25,,2021-04-04 19:29:34
25.06,,2021-04-04 19:29:50
24.94,,2021-04-04 19:29:54
25.19,,2021-04-04 19:30:10
25.25,,2021-04-04 19:30:14
25.12,,2021-04-04 19:30:25
25.0,,2021-04-04 19:30:30
24.81,,2021-04-04 19:30:41
25.12,,2021-04-04 19:30:50
25.25,,2021-04-04 19:30:54
25.25,,2021-04-04 19:30:59
25.12,,2021-04-04 19:31:10
25.0,,2021-04-04 19:31:14
24.88,,2021-04-04 19:31:19
25.06,,2021-04-04 19:31:30
25.19,,2021-04-04 19:31:34
25.25,,2021-04-04 19:31:39
25.0,,2021-04-04 19:31:55
24.94,,2021-04-04 19:32:00
24.88,,2021-04-04 19:32:04
25.19,,2021-04-04 19:32:15
25.31,,2021-04-04 19:32:20
25.25,,2021-04-04 19:32:24
25.06,,2021-04-04 19:32:40
24.94,,2021-04-04 19:32:44
25.25,,2021-04-04 19:33:00
25.31,,2021-04-04 19:33:05
25.31,,2021-04-04 19:33:09
25.25,,2021-04-04 19:33:14
25.06,,2021-04-04 19:33:25
24.94,,2021-04-04 19:33:30
24.88,,2021-04-04 19:33:34
24.94,,2021-04-04 19:33:40
25.19,,2021-04-04 19:33:45
25.25,,2021-04-04 19:33:49
25.19,,2021-04-04 19:34:05
25.12,,2021-04-04 19:34:09
24.88,,2021-04-04 19:34:24
24.94,,2021-04-04 19:34:29
25.38,,2021-04-04 19:34:44
